playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,picked
2540005,null,Marlon Brown,WR,DEN,WR,DEN,-123.1625,0,null,null,538,226,null,null,0,null,null,0.5,0,0,2.9857,null,FALSE
2541314,null,Justin Brown,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2541390,null,Kevin Dorsey,WR,NE,WR,NE,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2541429,null,B.J. Daniels,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2543572,null,Martavis Bryant,WR,PIT,WR,PIT,-123.1625,0,null,null,538,226,null,null,0,null,null,2.2933,0,0,2.8914,null,FALSE
2543761,null,Shaq Evans,WR,JAC,WR,JAC,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,3.2239,null,FALSE
2543777,null,Robert Herron,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2550182,null,Isaiah Burse,WR,DEN,WR,DEN,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2550223,null,Freddie Martino,WR,ATL,WR,ATL,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2550330,null,Kain Colter,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2550359,null,Seantavius Jones,WR,KC,WR,KC,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2550413,null,Corey Washington,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,null,null,FALSE
2550415,null,Tony Washington,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2552428,null,Tre McBride,WR,TEN,WR,TEN,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,2.8855,null,FALSE
2552479,null,DaRon Brown,WR,KC,WR,KC,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2552616,null,Duron Carter,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553289,null,Evan Spencer,WR,TB,WR,TB,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2553451,null,Neal Sterling,WR,JAC,WR,JAC,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553453,null,Andre Debose,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2553502,null,DeAndre Carter,WR,NE,WR,NE,-123.1625,0,null,null,538,226,null,null,0,null,null,0.5,0,0,1.8397,null,FALSE
2553526,null,Antwan Goodley,WR,DAL,WR,DAL,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553575,null,Levi Norwood,WR,CHI,WR,CHI,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553599,null,Jaxon Shipley,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553606,null,Jordan Taylor,WR,DEN,WR,DEN,-123.1625,0,null,null,538,226,null,null,0,null,null,0.3333,0,0,1.8397,null,FALSE
2553652,null,Chris Harper,WR,NE,WR,NE,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2553653,null,Josh Harper,WR,OAK,WR,OAK,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553668,null,Jordan Leslie,WR,MIN,WR,MIN,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553692,null,Rasheed Bailey,WR,JAC,WR,JAC,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,null,null,FALSE
2553703,null,Devante Davis,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553716,null,Rannell Hall,WR,CLE,WR,CLE,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553729,null,Tyler Murphy,WR,MIA,WR,MIA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2553787,null,Chandler Worthy,WR,NYJ,WR,NYJ,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553802,null,R.J. Harris,WR,NO,WR,NO,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,1.8397,null,FALSE
2553811,null,Deon Long,WR,TEN,WR,TEN,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553829,null,Andrew Turzilli,WR,TEN,WR,TEN,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553858,null,Austin Willis,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553874,null,Titus Davis,WR,NYJ,WR,NYJ,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553892,null,Austin Hill,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2553896,null,Darius Jennings,WR,CLE,WR,CLE,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,1.8397,null,FALSE
2553900,null,Daniel Brown,WR,BAL,WR,BAL,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2553904,null,Shakim Phillips,WR,PIT,WR,PIT,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2555573,null,Anthony Dable,WR,NYG,WR,NYG,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2556144,null,Daniel Braverman,WR,CHI,WR,CHI,-123.1625,0,null,null,538,226,null,null,0,null,null,0.3333,0,0,5.86,null,FALSE
2556490,null,Devon Cajuste,WR,SF,WR,SF,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,1.8397,null,FALSE
2556528,null,D.J. Foster,WR,NE,WR,NE,-123.1625,0,null,null,538,226,null,null,0,null,null,1,0,0,1.8397,null,FALSE
2556569,null,Andy Jones,WR,DAL,WR,DAL,-123.1625,0,null,null,538,226,null,null,0.0232,null,null,0,0,0,1.8397,null,FALSE
2556851,null,Keyarris Garrett,WR,CAR,WR,CAR,-123.1625,0,null,null,538,226,null,null,0.0682,null,null,0,0,0,1.8397,null,FALSE
2552431,null,Vince Mayle,WR,DAL,WR,DAL,-123.2089,-0.0464,null,null,636,324,null,null,0.0435,null,null,null,-0.0217,-0.15,1.8669,null,FALSE
2552413,null,Dres Anderson,WR,SF,WR,SF,-123.2524,-0.09,null,null,637,325,null,null,null,null,null,null,-0.0237,-0.2,1.872,null,FALSE
2539289,null,Kenjon Barner,RB,PHI,RB,PHI,-124.1648,10.2821,null,null,638,122,null,null,0.1401,null,null,0,20.5766,0.6,6.0435,null,FALSE
2552464,null,Jalston Fowler,RB,TEN,RB,TEN,-124.1764,10.2705,null,null,639,123,null,null,0.478,null,null,null,15.3127,3.84,null,null,FALSE
2552477,null,Aaron Ripkowski,RB,GB,RB,GB,-124.4334,10.0136,null,null,640,124,null,null,0.6433,null,null,0,15.7974,0.33,null,null,FALSE
2552636,null,Michael Burton,RB,DET,RB,DET,-124.8755,9.5715,null,null,641,125,null,null,1.0444,null,null,null,12.4509,5.43,null,null,FALSE
2555227,null,Jonathan Williams,RB,BUF,RB,BUF,-125.2779,9.1691,null,296,642,126,null,null,1.312,null,null,0.6667,17.7153,0.3,7.6957,null,FALSE
2534437,null,Austin Johnson,RB,NO,RB,NO,-126.5619,7.8851,null,null,643,127,null,null,0.0984,null,null,1,14.7143,-0.2,null,null,FALSE
2540178,null,Knile Davis,RB,KC,RB,KC,-126.618,7.829,null,null,644,128,null,null,0.2069,null,null,1.3333,11.877,2.6118,8.6157,null,FALSE
2539315,null,Stepfan Taylor,RB,ARI,RB,ARI,-126.7024,7.7445,null,null,645,129,null,null,0.3008,null,null,0.5,11.9471,3.3401,3.8837,null,FALSE
2552647,null,Marcus Murphy,RB,NO,RB,NO,-126.9473,7.4996,null,null,646,130,null,null,0.1645,null,null,0,15.0709,0,null,null,FALSE
2540224,null,Mike James,RB,TB,RB,TB,-127.0593,7.3877,null,null,647,131,null,null,0.1463,null,null,null,10.5034,0,4.5429,null,FALSE
2550529,null,Silas Redd,RB,WAS,RB,WAS,-127.1642,7.2827,null,null,648,132,null,null,0.1029,null,null,0,13.7138,-0.2699,null,null,FALSE
2534871,null,Derrick Coleman,RB,SEA,RB,SEA,-127.2469,7.2,null,null,649,133,null,null,0.1761,null,null,0.5,5.76,0,null,null,FALSE
2550263,null,Juwan Thompson,RB,DEN,RB,DEN,-127.2874,7.1596,null,null,650,134,null,null,0.3092,null,null,0,14.742,0,6.8878,null,FALSE
163982,null,Will Johnson,RB,NYG,RB,NYG,-127.5587,6.8882,null,null,651,135,null,null,0.1907,null,null,null,14.6456,0,2.9617,null,FALSE
2553743,null,Rod Smith,RB,DAL,RB,DAL,-127.6344,6.8125,null,null,652,136,null,null,0.3028,null,null,0,14.8954,0,null,null,FALSE
2553728,null,Raheem Mostert,RB,CLE,RB,CLE,-127.8644,6.5826,null,null,653,137,null,null,0.1988,null,null,0.3333,10.9572,1.8,null,null,FALSE
2552376,null,David Cobb,RB,TEN,RB,TEN,-128.0101,6.4368,null,260,654,138,null,null,0.1464,null,null,0.5,10.5136,0,8.7938,null,FALSE
2556118,null,Dwayne Washington,RB,DET,RB,DET,-128.1162,6.3307,null,null,655,139,null,null,0.0843,null,null,2.0167,9.18,0.52,2.7679,null,FALSE
2553617,null,Terrell Watson,RB,CLE,RB,CLE,-128.1969,6.25,null,null,656,140,null,null,0.0666,null,null,0.3333,6.25,6.25,7.0595,null,FALSE
2540225,null,Tommy Bohanon,RB,NYJ,RB,NYJ,-128.2042,6.2428,null,null,657,141,null,null,0.4808,null,null,null,12.2399,0,2.5324,null,FALSE
2495340,null,Anthony Sherman,RB,KC,RB,KC,-128.3229,6.124,null,null,658,142,null,null,0.7451,null,null,0,12.7994,0,2.3991,null,FALSE
2553446,null,Malcolm Johnson,RB,CLE,RB,CLE,-129.0469,5.4,null,null,659,143,null,null,0.0549,null,null,null,5.4,5.4,null,null,FALSE
2543695,null,Jay Prosch,RB,HOU,RB,HOU,-129.0892,5.3578,null,null,660,144,null,null,0.3953,null,null,1,8.1209,2.45,null,null,FALSE
230,null,Jerome Felton,RB,BUF,RB,BUF,-129.1144,5.3325,null,null,661,145,null,null,0.7866,null,null,1,10.7576,0,2.3103,null,FALSE
2534796,null,Bryce Brown,RB,SEA,RB,SEA,-129.8545,4.5924,null,null,662,146,null,null,0.179,null,null,0,5.8856,0,2.488,null,FALSE
2508101,null,James Develin,RB,NE,RB,NE,-129.9474,4.4995,null,null,663,147,null,null,0.235,null,null,0,6.7638,0,null,null,FALSE
